Case #,Task Description,Code Solution,Score
111,Write a function to find common elements in given nested lists. * list item * list item * list item * list item,"
def common_in_nested_lists(nestedlist):
    result = list(set.intersection(*map(set, nestedlist)))
    return result

assert common_in_nested_lists([[12, 18, 23, 25, 45], [7, 12, 18, 24, 28], [1, 5, 8, 12, 15, 16, 18]])==[18, 12]
assert common_in_nested_lists([[12, 5, 23, 25, 45], [7, 11, 5, 23, 28], [1, 5, 8, 18, 23, 16]])==[5, 23]
assert common_in_nested_lists([[2, 3,4, 1], [4, 5], [6,4, 8],[4, 5], [6, 8,4]])==[4]
",100.0
112,Write a python function to find the perimeter of a cylinder.,"
def perimeter(diameter, height) :
    return 2 * (diameter + height)  
",100.0
113,Write a function to check if a string represents an integer or not.,"
def check_integer(text):
    text = text.strip()
    if len(text) < 1:
        return False
    else:
        if all(text[i] in ""0123456789"" for i in range(len(text))):
            return True
        elif (text[0] in ""+-"") and all(text[i] in ""0123456789"" for i in range(1, len(text))):
            return True
        else:
            return False
",100.0
114,Write a function to assign frequency to each tuple in the given tuple list.,"
from collections import Counter

def assign_freq(test_list):
    res = [(*key, val) for key, val in Counter(test_list).items()]
    return str(res)
",100.0
115,Write a function to check whether all dictionaries in a list are empty or not.,"
def empty_dit(list1):
    if isinstance(list1, dict):
        return not list1
    return all(not d for d in list1)
",100.0
116,Write a function to convert a given tuple of positive integers into an integer.,"
def tuple_to_int(nums):
    result = int(''.join(map(str, nums)))
    return result
",100.0
117,Write a function to convert all possible convertible elements in the list to float.,"
def list_to_float(test_list):
  res = []
  for tup in test_list:
    temp = []
    for ele in tup:
      try:
        temp.append(float(ele))
      except ValueError:
        temp.append(ele)
    res.append((temp[0], temp[1]))
  return str(res)
",100.0
118,[link text](https:// [link text](https:// [link text](https://)))write a function to convert a string to a list.,"
def string_to_list(string): 
    lst = string.split("" "") 
    return lst
",100.0
119,Write a python function to find the element that appears only once in a sorted array.,"
def search(arr, n):
    XOR = 0
    for i in range(n):
        XOR = XOR ^ arr[i]
    return XOR
",100.0
120,Write a function to find the maximum product from the pairs of tuples within a given list.,"
def max_product_tuple(list1):
    result_max = max([x * y for x, y in list1])
    return result_max
",100.0
124,Write a function to get the angle of a complex number.,"
import cmath

def angle_complex(a, b):
    cn = complex(a, b.imag if isinstance(b, complex) else b)
    angle = cmath.phase(cn)
    return angle
",100.0
125,Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.,"
def find_length(string, n): 
    current_sum = 0
    max_sum = float('-inf')
    for i in range(n): 
        current_sum += (1 if string[i] == '0' else -1) 
        if current_sum < 0: 
            current_sum = 0
        max_sum = max(current_sum, max_sum) 
    return max_sum if max_sum != float('-inf') else 0
",100.0
126,Write a python function to find the sum of common divisors of two given numbers.,"
def sum(a, b):
    total_sum = 0
    for i in range(1, min(a, b) + 1):
        if a % i == 0 and b % i == 0:
            total_sum += i
    return total_sum
",100.0
127,Write a function to multiply two integers without using the * operator in python.,"
def multiply_int(x, y):
    if y < 0:
        return -multiply_int(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply_int(x, y - 1)
",100.0
128,Write a function to shortlist words that are longer than n from a given list of words.,"
def long_words(n, str):
    return [word for word in str.split() if len(word) > n]
",100.0
129,Write a function to calculate magic square.,"
def magic_square_test(my_matrix):
    iSize = len(my_matrix[0])
    sum_list = []
    sum_list.extend([sum(lines) for lines in my_matrix])   
    for col in range(iSize):
        sum_list.append(sum(row[col] for row in my_matrix))
    result1 = 0
    for i in range(iSize):
        result1 += my_matrix[i][i]
    sum_list.append(result1)      
    result2 = 0
    for i in range(iSize):
        result2 += my_matrix[iSize-1-i][i]
    sum_list.append(result2)
    if len(set(sum_list)) > 1:
        return False
    return True
",100.0
130,Write a function to find the item with maximum frequency in a given list.,"
from collections import defaultdict

def max_occurrences(nums):
    dict = defaultdict(int)
    for i in nums:
        dict[i] += 1
    result = max(dict.items(), key=lambda x: x[1]) 
    return result
",100.0
138,Write a python function to check whether the given number can be represented as sum of non-zero powers of 2 or not.,"def is_Sum_Of_Powers_Of_Two(n): 
    if (n % 2 == 1): 
        return False
    else: 
        return True",66.66666666666666
132,Write a function to convert tuple to a string.,"
def tup_string(tup1):
    return ''.join(tup1)
",100.0
133,Write a function to calculate the sum of the negative numbers of a given list of numbers using lambda function.,"
def sum_negativenum(nums):
    return sum(filter(lambda x: x < 0, nums))
",100.0
134,Write a python function to check whether the last element of given array is even or odd after performing an operation p times.,"
def check_last(arr, n, p):
    if p % 2 == 1:
        _sum = sum(arr)
        if _sum % 2 == 0:
            return ""ODD""
        else:
            return ""EVEN""
    else:
        if arr[-1] % 2 == 0:
            return ""EVEN""
        else:
            return ""ODD""
",100.0
135,Write a function to find the nth hexagonal number.,"
def hexagonal_num(n):
    return n * (2 * n - 1)
",100.0
136,Write a function to calculate electricity bill.,"
def cal_electbill(units):
    if units < 50:
        amount = units * 2.60
        surcharge = 25
    elif units <= 100:
        amount = 130 + ((units - 50) * 3.25)
        surcharge = 35
    elif units <= 200:
        amount = 130 + 162.50 + ((units - 100) * 5.26)
        surcharge = 45
    else:
        amount = 130 + 162.50 + 526 + ((units - 200) * 8.45)
        surcharge = 75
    total = amount + surcharge
    return total
",100.0
137,Write a function to find the ration of zeroes in an array of integers.,"
from array import array

def zero_count(nums):
    n = len(nums)
    n1 = nums.count(0)
    return round(n1 / n, 2) if n > 0 else 0.0
",100.0
